unique_id,claim,year,company,rephrased_claim,gold_label
0,Oatly generates 73% less CO2e VS cows milk,2022,oatly,Oatly's production generates 73% less CO2e than cow's milk.,greenwashing
1,"Style meets sustainability in our innovative new ASOS line, which is all about future-proofing fashion. So, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. Think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. The kind of fashion that’s good for your wardrobe, and better for the environment.",2022,asos,"ASOS's innovative new line redefines fashion with eco-friendly, on-trend pieces that blend fresh cuts, key colors, and '90s vibes, offering a stylish and sustainable future for your wardrobe.",greenwashing
2,"[We have] 100% energy-efficient stores. The daily operation of our stores is adapted to reduce our environmental impact with systems that allow us to adjust water and energy consumption to the real needs of the store. In addition, the new building and renovation standards of our stores, based on our Eco-Efficient Store Manual, establish the use of more efficient technologies that help us regulate our consumption.",2022,zara,"Zara proudly operates 100% energy-efficient stores, leveraging advanced systems and eco-conscious building standards to precisely manage water and energy consumption.",greenwashing
3,"The TV ad tells the story of a man and and his aquatic sidekick, Otter, as their boat is hijacked by revellers celebrating and making a mess as they approach a large waterfall. They sing about “messing up the planet” until they find themselves in peril, hanging off the edge of a cliff. They then row back to safety, clear up the rubbish, and start turning apples on a tree into Innocent smoothies, which they all consume as they “fix up the planet”",2021,innocent,"Innocent's 2021 TV ad showcases a man and his otter whose boat is hijacked by revellers causing environmental havoc, leading to a perilous cliffhanger before they clean up, create Innocent smoothies, and unite to ""fix up the planet.""",greenwashing
4,Meat alternative brand Quorn Foods claims in a YouTube video that its Thai Wonder Grains “lunch pot” is a step in the right direction to addressing climate change because it “helps us reduce our carbon footprint.”,2021,quornfoods,Quorn Foods highlights its Thai Wonder Grains lunch pot as a positive step towards reducing carbon footprints and addressing climate change.,greenwashing
5,"""Recyclable, strawless lids for customers across the U.S. and Canada is another step in our journey to reduce our environmental footprint""",2022,starbucks,"Starbucks advances its environmental commitment with the introduction of recyclable, strawless lids for customers across the U.S. and Canada.",greenwashing
6," ""Delta is the world's first carbon-neutral airline.""",2023,delta,Delta makes history as the world's first carbon-neutral airline.,greenwashing
7,"""Connecting the world, protecting its future""",2023,lufthansa,Lufthansa champions global connectivity with a steadfast commitment to protecting the planet's future.,greenwashing
8," we’re taking a louder, bolder approach to sustainable aviation” in the body of the text and “… we’re cutting back on single-use plastics and are flying the most efficient planes. Flights with a smaller footprint … Environmental airline of the year",2023,etihad,"Named 2023 Environmental Airline of the Year, Etihad Airways is boldly advancing sustainable aviation by eliminating single-use plastics and operating highly efficient aircraft for flights with a reduced environmental footprint.",greenwashing
9," we’re taking a louder, bolder approach to sustainable aviation” in the body of the text, and “… you’ll earn Etihad Guest Miles every time you make a conscious choice for the planet … Environmental airline of the year",2023,etihad,"Etihad, the 2023 Environmental Airline of the Year, is taking a louder, bolder approach to sustainable aviation, rewarding passengers with Etihad Guest Miles for every conscious choice for the planet.",greenwashing
10,Claims their single-use plastic coffee pods are easily recyclable.,2022,keurig,Keurig claims its single-use plastic coffee pods are easily recyclable.,greenwashing
11,"Marketed a range of products labeled ""Aware"".",2022,amazon,"In 2022, Amazon unveiled its new ""Aware"" product line.",greenwashing
12,Promoted Hefty Recycling Bags as capable of handling any recyclable item.,2021,reynoldsconsumerproducts,Hefty Recycling Bags were promoted as capable of handling any recyclable item.,greenwashing
13,"Claimed their bottles were made from 100% recycled ocean plastic. In an image showing a  plastic spray bottle of Windex cleaner in front of a pile of colorful plastic bottles. The pile of plastic bottles is submerged in water, suggesting it is ocean plastic.",2021,windex,Windex announced in 2021 that its bottles are made from 100% recycled ocean plastic.,greenwashing
14,"EvoluSHEIN is Shein’s first ‘sustainable’ clothing collection. According to the brand, this is “a purpose-driven collection with a positive vision for the future."" On their website, they have stated that these garments are made from recycled materials, sent to customers in 100% recycled packaging",2023,shein,"Shein's 2023 EvoluSHEIN collection, hailed by the brand as 'purpose-driven,' represents its first 'sustainable' line, featuring recycled materials for garments and 100% recycled packaging.",greenwashing
15,Launched a sustainable fashion campaign with Kourtney Kardashian as the face.,2023,boohoo,"boohoo launched its 2023 sustainable fashion campaign, fronted by Kourtney Kardashian.",greenwashing
16,"""1.4 million households in the UK use 100% renewable energy from Shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""The UK is READY for cleaner energy"" and the hashtag “#PoweringProgress” flashed onscreen in the closing shots of the ads, accompanied by the Shell logo.",2023,shell,"Shell is driving the UK's cleaner energy future, providing 1.4 million households with 100% renewable power, developing a wind project to serve six million homes, and installing 50,000 electric vehicle chargers nationwide by 2025.",greenwashing
18,"an Instagram post by Brewdog, published on 31 July 2023, featured an image of a poster, containing a childlike drawing of Earth covered in flames. Text accompanying the drawing stated “drink it for me” in the style of a child’s handwriting. Text on the other half of the poster stated “BEER FOR YOUR GRANDCHILDREN”, alongside an image of Brewdog Punk IPA Lager, and a badge with the text “Positive Planet CERTIFIED CARBON NEGATIVE COMPANY”. The caption stated “Beer for your Grandchildren. From the World’s First Carbon Negative brewery. Find out how we’re working to ensure we have a planet to enjoy beer on via the link in our bio”.",2023,brewdog,"Brewdog, a Positive Planet Certified Carbon Negative company, champions a sustainable future, promoting ""Beer for Your Grandchildren"" to highlight its environmental commitment.",greenwashing
19,"The poster featured an aerial image of waves crashing on a shore with text that stated ""Climate change doesn’t do borders. Neither do rising sea levels. That’s why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”.",2021,hsbc,"Addressing the borderless challenges of climate change and rising sea levels, HSBC commits up to $1 trillion in global financing and investment to support clients' transition to net zero.",greenwashing
20,"The poster featured an image of tree growth rings with text that stated ""Climate changes doesn’t do borders. So in the UK, we’re helping to plant 2 million trees which will lock in 1.25 million tonnes of carbon over their lifetime"".",2021,hsbc,"Addressing the global nature of climate change, HSBC is supporting the planting of 2 million trees across the UK, projected to absorb 1.25 million tonnes of carbon over their lifetime.",greenwashing
21,"A website for Hyundai, included text which stated “All-New NEXO” and “Introducing the next generation of fuel cell vehicles: All-New NEXO. A car so beautifully clean, it purifies the air as it goes”.",2021,hyundai,"Introducing the All-New Hyundai NEXO, the next-generation fuel cell vehicle engineered to purify the air as it drives.",greenwashing
22,"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products and materials. Clothing has the power to change the future. None of this can happen without your help. Please bring any UNIQLO items you no longer need to a RE.UNIQLO recycling box.",2023,uniqlo,"Uniqlo's RE.UNIQLO program invites customers to give their pre-loved clothing a new life, fostering a circular society through reduce, reuse, and recycle initiatives.",greenwashing
23,"“ 100% recycled bottle"" accompanied by an asterisk after the claim, leading to text in smaller print on the back of the bottle, specifying “This bottle is made from 100% recycled plastic, so the colour of the bottle may vary. Caps and label don’t yet contain recycled plastic. 100% recyclable. Please recycle.”",2023,evian,"Evian unveils new bottles crafted from 100% recycled plastic, with caps and labels not yet incorporating recycled content, while the entire package remains 100% recyclable.",greenwashing
24,"Made from 100% recycled PET bottles” accompanied by an asterisk after the claim, leading to “*does not refer to the label and cap”.",2023,romerquelle,"Romerquelle's 2023 bottles are made from 100% recycled PET, excluding the label and cap.",greenwashing
25,"Carbon negative carpet tile changed everything for us. We now know it’s possible to store more carbon than we emit. We want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. This is an important step on our journey to reverse global warming.",2022,interface,"Interface's 2022 carbon-negative carpet tile breakthrough demonstrated the feasibility of storing more carbon than emitted, inspiring the company to pursue enterprise-wide carbon negativity without offsets and challenging others to join this vital effort to reverse global warming.",not_greenwashing
26,"Buy less, demand more",2023,patagonia,"Championing a new era of consumer responsibility, the message encourages individuals to buy less and demand more.",not_greenwashing
27,"The ad is designed to look like a two-page spread in a newspaper.  The left-hand side of the ad says ""We bought this two-page ad to tell you we've been including climate footprint numbers on our products so they can tell you their climate footprint numbers too."" The right-hand side of the ad says ""We're donating this page to the dairy industry so they can tell you their climate footprint numbers too."" There is a large Oatly logo in the bottom right corner of the ad.  Below the ad copy, there is a section that says ""Climate Footprint Oat Milk 0.62 kg CO₂e/kg.""",2023,oatly,Oatly's 2023 two-page newspaper ad boldly showcases its oat milk's climate footprint (0.62 kg CO₂e/kg) while challenging the dairy industry to disclose its own environmental impact.,not_greenwashing
28,We’re Made for More. More carbon reduction. More carbon storage. More innovative solutions. More impact.,2023,interface,"Interface is ""Made for More,"" driving increased carbon reduction, enhanced carbon storage, and innovative solutions for a stronger environmental impact.",not_greenwashing
29,"In 2020, 97% of our product packaging, by volume, was what we consider to be 'Zero Waste -reusable or recyclable.",2023,seventhgeneration,"Seventh Generation's 2020 product packaging was 97% reusable or recyclable by volume, advancing its 'Zero Waste' mission.",not_greenwashing
30,"We make dishwashing liquid and automatic dish detergents powered by renewable, plant-based ingredients that fight grease with ease and make dish time less of a chore.",2023,seventhgeneration,"Seventh Generation offers renewable, plant-based dishwashing liquids and automatic detergents that effortlessly cut grease, simplifying your dish time.",not_greenwashing
31,"Using the power of plant science, we create products that get the job done and are safer for your family. From renewable plant-based ingredients to more sustainable packaging, our products re-define what it means to clean with purpose.",2023,seventhgeneration,"Seventh Generation redefines purposeful cleaning, offering effective, family-safe products crafted with plant science, renewable ingredients, and sustainable packaging.",not_greenwashing
32,"OUR SUSTAINABLY SOURCED INGREDIENTS In the southern region of France, we source our organically grown lavandin and thyme. Our sustainable sourcing program contributes to maintaining local biodiversity, expanding organic farming, and supporting local farmers.",2022,garnier,"Garnier's sustainable sourcing program in Southern France ensures organically grown lavandin and thyme, fostering local biodiversity, expanding organic farming, and supporting regional farmers.",not_greenwashing
33,A FUTURE-PROOF ALTERNATIVE THAT'S DISTINCT AND POWERFUL,2023,fairphone,"Fairphone presents a distinct, powerful, and future-proof alternative.",not_greenwashing
34,"The Fairphone 4’s body is machined from aluminum from ASI certified vendors. To top it off, we’ve designed it with a 100% recycled plastic back cover. Using fairer materials as much as possible.",2023,fairphone,"The Fairphone 4 features an ASI-certified aluminum body and a 100% recycled plastic back cover, underscoring its commitment to fairer, sustainable materials.",not_greenwashing
35,"100% natural, reusable and biodegradable, the Cork Pot is a carbon-positive piece of packaging, removing over 33 times its weight in carbon dioxide for every single pot. Sourced from southern Portugal, they support re-wilding projects in the region as well as helping your shampoo bars stay dry and last longer. Whether you're heading out on an adventure, travelling to the gym, or just want to do your bit in the bathroom, do something (carbon) positive today and pop a Cork Pot into your basket!",2023,lush,"Go carbon-positive with Lush's Cork Pot, a 100% natural, reusable, and biodegradable solution that removes over 33 times its weight in CO2, keeps your shampoo bars dry for extended use, and supports re-wilding projects.",not_greenwashing
36,worn wear program: One of the most responsible things we can do for the planet is to keep our gear going longer. That’s why we’re making it as easy as possible to repair your gear. ,2023,patagonia,"Patagonia's Worn Wear program simplifies gear repair, enabling customers to extend product life and contribute to a more sustainable planet.",not_greenwashing
37,"From materials to transport, we’re working to reduce our carbon footprint to near zero. Holding ourselves accountable and striving for climate goals isn’t a 30-year goal—it’s now.",2023,allbirds,"Allbirds is urgently working to reduce its carbon footprint to near zero, addressing all aspects from materials to transport.",not_greenwashing
38,"Where possible, we replace synthetic petroleum-based materials with natural alternatives. Such as wool, tree fibers and sugar cane. They're soft, breathable and better for the planet - win, win, win.",2023,allbirds,"Allbirds crafts soft, breathable, and planet-friendly products by replacing synthetic petroleum-based materials with natural alternatives like wool, tree fibers, and sugar cane wherever possible.",not_greenwashing
39,Loop And Swoop: Our laces are made from 100% post-consumer recycled polyester. One old plastic bottle becomes one pair of shoelaces.,2023,allbirds,"Allbirds crafts its laces from 100% post-consumer recycled polyester, repurposing one plastic bottle for every pair.",not_greenwashing
42,"We take a holistic approach when selecting our ingredients, packaging, materials and fabrics, taking multiple aspects into account to make actual sustainable choices. Reducing the environmental impact of our business is key to us and is constantly on our minds. To do so, we measure, monitor and initiate improved practices throughout the company, from packaging & ingredients to operations, and supply chain.",2023,rituals,"Rituals champions environmental responsibility through a holistic approach to sustainable ingredient, packaging, material, and fabric selection, continuously improving practices across its entire operations and supply chain.",not_greenwashing
43,"At Rituals, we are committed that all our packaging will be refillable recyclable, and/or made from recycled materials by 2025. In 2022 alone, our refills saved 802,587 kg in materials, 32,871 GJ-eq in energy, 1,766 tons of CO 2 -eq, and 19.3M litres of water.",2023,rituals,"In 2022, Rituals' refill program saved over 800,000 kg of materials, 32,000 GJ-eq of energy, 1,700 tons of CO2-eq, and 19 million litres of water, underscoring its commitment to 100% refillable, recyclable, or recycled packaging by 2025.",not_greenwashing
44,"Our founder, Anita Roddick, initiated our first recycling scheme Bring Back Our Bottles in 1993. Then, in 2019, we launched our Return, Recycle, Repeat scheme in five countries. In 2020, we started a refill revolution with refill stations across 500 stores globally. And now, our Return, Recycle, Repeat scheme is back.",2022,thebodyshop,"Continuing a pioneering sustainability journey that began with founder Anita Roddick's 1993 recycling scheme and evolved into a global refill revolution, The Body Shop proudly relaunches its Return, Recycle, Repeat program.",not_greenwashing
45,"Designed with Impact in Mind: We transform waste streams into nature positive products, engineered for a second life.",2023,chopvalue,"ChopValue transforms waste streams into nature-positive products, purposefully engineered for a lasting second life.",not_greenwashing
46,Our circular material is better for you and the planet. Every product made from our engineered performance material means fewer trees cut down for wooden furniture.,2023,chopvalue,"ChopValue's innovative circular material offers superior performance, benefiting you and the planet by saving trees in furniture production.",not_greenwashing
47,The Future of Furniture Is Circular Climate positive wood furniture made locally on a global scale,2023,chopvalue,"ChopValue is shaping the future of furniture with climate-positive, circular wood products, manufactured locally for global impact.",not_greenwashing
48,"Naturepedic’s line of certified organic mattresses are now EWG VERIFIED! As the “First in Category” to receive this distinction, we couldn’t be prouder to lead the industry in setting a new standard for providing safer, healthier sleep for people, the planet, and YOU.",2023,naturepedic2023,"Naturepedic's certified organic mattresses are the first in their category to achieve EWG VERIFIED status, setting a new industry standard for safer, healthier sleep.",not_greenwashing
49,"Naturepedic's mission includes a strong focus on environmental sustainability. From responsibly sourcing natural and certified organic materials to becoming the first mattress manufacturer ever to earn the EWG VERIFIED® distinction to implementing a packaging system that helps keep 55,000 pounds of single-use plastic out of landfills each year, we are continuously working to improve.",2023,naturepedic2023,"Naturepedic champions environmental sustainability by responsibly sourcing organic materials, becoming the first EWG VERIFIED® mattress manufacturer, and preventing 55,000 pounds of plastic waste annually.",not_greenwashing
50,"Today, we make all our products with some of nature’s most effective ingredients, all sourced with respect for people and the land. Each ingredient is chosen for its proven ability to replenish and strengthen a healthy skin barrier. That means only the good stuff, and absolutely none of the bad, for hydrated and happy skin.",2023,burtsbees,"Burt's Bees crafts products with nature's most effective, ethically sourced ingredients, each specifically chosen to replenish and strengthen your skin's healthy barrier for naturally hydrated and happy results.",not_greenwashing
51,"All our products are over 95% natural origin, without phthalates, parabens, petrolatum, or sodium lauryl sulfate.",2023,burtsbees,"Burt's Bees products are over 95% natural origin, formulated without phthalates, parabens, petrolatum, or sodium lauryl sulfate.",not_greenwashing
52,"With GoGreen, shipping emissions are subsequently offset by investing in global climate protection projects - known as offsetting. We automatically apply this process to all letter mail and private customer parcels worldwide - at no extra charge. Business customers can also book the service for their parcels and advertising mail.",2023,deutschepost,"Deutsche Post's GoGreen service automatically offsets shipping emissions for all private customer letter mail and parcels worldwide at no extra charge through investments in global climate protection projects, with business customers also able to book the service for their parcels and advertising mail.",not_greenwashing
53,"With 23,000 electric delivery vans, 13,500 e-trikes and 6,100 e-bikes, ours is the largest fleet of electric commercial vehicles in the world, and our deliveries are carbon-free in about 50% of our delivery districts. No other logistics company invests as much in e-mobility as we do. We will expand our e-fleet to 38,000 electric delivery vehicles and 14,000 e-trikes by 2025. That means we can also help our public sector customers to meet the requirements of the German Clean Vehicles Procurement Act.",2023,deutschepost,"Deutsche Post, boasting the world's largest electric commercial vehicle fleet and achieving carbon-free deliveries in 50% of its districts, will expand its e-fleet to 38,000 electric delivery vehicles and 14,000 e-trikes by 2025, solidifying its unparalleled investment in sustainable logistics.",not_greenwashing
